(Intercept),Days.Elapsed,biotypelive,SeasonSpring,SeasonSummer,SeasonWinter,Days.Elapsed.Trans:biotypelive,PFAS
 2.00(0.02), 2.00(0.07),-0.07(0.02),-0.04(0.40),-1.00(0.10),-0.30(0.70), 0.07(0.90),PFBA
 2.00(0.030), 1.00(0.200),-0.08(0.004), 0.02(0.400),-2.00(0.004),-2.00(0.030), 0.20(0.800),PFPeA
 3.00(3e-04), 1.00(7e-03),-0.04(3e-02), 0.01(6e-01),-4.00(3e-05),-3.00(3e-04),-0.10(9e-01),PFHxA
-0.30(0.500), 0.60(0.200),-0.01(0.600), 0.10(0.002), 0.04(0.900), 0.90(0.200), 2.00(0.030),PFHpA
-0.200(0.06),-0.060(0.60), 0.003(0.80), 0.060(0.01), 0.100(0.50),-0.200(0.20),-0.090(0.60),PFOA
-6.00(7e-16),-0.80(3e-01),-0.05(3e-01), 0.20(3e-02), 1.00(3e-01), 2.00(6e-03), 2.00(6e-03),PFNA
 0.60(3e-01),-0.20(7e-01),-0.02(4e-01), 0.10(2e-05), 0.40(5e-01), 0.90(2e-01), 2.00(2e-03),PFDA
 1.000(4e-04),-0.100(6e-01), 0.008(2e-01), 0.010(2e-01), 2.000(2e-05),-0.900(3e-03), 0.300(2e-01),FHEA
 2.000(0.001), 0.300(0.500),-0.004(0.700), 0.040(0.008),-2.000(0.003),-1.000(0.030),-0.400(0.400),FHUEA
 4.000(6e-10),-0.800(5e-02),-0.004(6e-01), 0.020(1e-01), 0.900(1e-02), 0.200(5e-01),-0.200(6e-01),FPePA
 0.20(0.600), 0.50(0.200),-0.02(0.100), 0.06(0.006),-0.30(0.400),-0.50(0.200),-0.60(0.100),FHpPA
 4.000(6e-11),-0.050(8e-01), 0.010(6e-03), 0.008(7e-02),-0.200(4e-01),-0.900(2e-03), 0.500(3e-02),PFHxS
 4.000(2e-09),-0.200(4e-01), 0.010(1e-03), 0.002(7e-01), 0.300(2e-01),-0.200(6e-01), 0.300(3e-01),PFOS
 1.000(0.001),-0.300(0.300), 0.003(0.600), 0.009(0.300),-0.800(0.020),-1.000(0.002), 1.000(0.002),MeFBSAA
 2.00(2e-05), 0.08(8e-01),-0.01(2e-01), 0.05(4e-04),-0.20(5e-01),-0.30(3e-01),-0.10(7e-01),FTS.6.2
 4.000(5e-11), 0.030(9e-01), 0.003(5e-01), 0.020(1e-02),-1.000(6e-04),-1.000(1e-04), 0.200(4e-01),diPAP.6.2
 0.60(0.40),-0.40(0.50),-0.03(0.07), 0.04(0.03), 0.80(0.30),-0.20(0.80), 2.00(0.02),diPAP.6.2.8.2
 3.000(3e-10),-0.300(1e-01), 0.008(2e-02), 0.004(4e-01), 0.200(4e-01),-0.600(2e-02),-0.400(8e-02),diPAP.8.2
