Days.Elapsed,dil,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTriDA,PFTeDA,PFPeDA,PFHxDA,PFHpDA,PFOcDA,FBEA,FHEA,FOEA,FDEA,FBUEA,FHUEA,FOUEA,FDUEA,FPrPA,FPePA,FHpPA,FNPA,PFBS,PFPS,PFHxS,PFHpS,PFOS,PFNS,PFDS,FTS.4.2,FTS.6.2,FTS.8.2,FBSAA,FPeSAA,FHxSAA,FHpSAA,FOSAA,MeFBSAA,MeFPeSAA,MeFHxSAA,MeFHpSAA,MeFOSAA,EtFBSAA,EtFPeSAA,EtFHxSAA,EtFHpSAA,EtFOSAA,PFPi.4.4,PFPi.4.6,PFPi.6.6,PFPi.8.6,PFPi.8.8,diPAP.4.2,diPAP.4.2.6.2,diPAP.6.2,diPAP.6.2.8.2,diPAP.8.2,diPAP.8.2.10.2,diPAP.10.2,FTMAP.6.2,FTMAP.6.2.8.2,FTMAP.8.2,FTMAP.8.2.10.2,FTMAP.10.2,SAmPAP,Reactor,Season,biotype,crossed_factors,dummy_rep,phase
0,1,59.813,36.483399999999996,52.4006,49.0916,72.8532,7.699199999999999,4.6594,3.489,3.9013999999999998,5.0649999999999995,4.5596,3.5014,1.41421356237309,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,8.42841441990413,0.824217381620061,0.2,2.9656,0.2,4.032,0.2,4.159599999999999,0.2,0.193,0.503424424824982,5.6015999999999995,0.2,0.2,0.2,0.2,0.2,0.2,11.1236,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,286.0584,116.01400000000001,25.4428,5.541399999999999,3.4858000000000002,0.2,0.2,0.2,0.2,0.2,12.998000000000001,P2,Fall,live,Fall_live,1,lag
5,1.0192954837467492,41.7833237813175,45.470800000000004,63.2778,52.269000000000005,71.897,4.999199999999999,3.3228000000000004,4.7348,2.8381999999999996,3.1197999999999997,6.4712,1.41421356237309,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,1.19195779819294,0.824217381620061,0.2,2.8453999999999997,0.2,2.3495999999999997,0.2,4.3858,0.2,0.193,0.503424424824982,2.9716,0.2,0.2,0.2,0.2,0.2,0.2,7.1736,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,128.5616,173.6368,44.8476,7.8532,2.7932,0.2,0.2,0.2,0.2,0.2,22.813599999999997,P2,Fall,live,Fall_live,1,lag
12,1.0360876920763447,41.7833237813175,42.632999999999996,58.38380000000001,55.988,97.5426,5.85,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,1.19195779819294,0.824217381620061,0.2,5.2108,0.2,3.08719324765273,0.2,2.5004,0.2,0.193,0.503424424824982,3.2615999999999996,0.2,0.2,0.2,0.2,0.2,0.2,6.7227999999999994,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,52.11520000000001,29.596800000000002,56.6764,9.3836,4.1664,0.2,0.2,0.2,0.2,0.2,17.0316,P2,Fall,live,Fall_live,1,lag
17,1.046209724429588,41.7833237813175,62.1934,71.56559999999999,59.6814,98.33840000000001,5.917399999999999,4.749199999999999,2.8228000000000004,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,1.19195779819294,0.824217381620061,0.2,4.394,0.2,3.08719324765273,0.2,5.2962,0.2,0.193,0.503424424824982,3.8564000000000003,0.2,0.2,0.2,0.2,0.2,0.2,10.6278,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,81.9864,67.48719999999999,158.5904,30.5488,11.2552,0.2,0.2,0.2,0.2,0.2,55.39679999999999,P2,Fall,live,Fall_live,1,lag
26,1.054897336412722,41.7833237813175,46.69515,61.40695,54.2575,85.15780000000001,6.11645,4.2438,3.6822000000000004,3.3697999999999997,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,1.19195779819294,0.824217381620061,0.2,3.8539499999999998,0.2,3.08719324765273,0.2,1.35057395206631,0.2,0.193,0.503424424824982,3.9228,0.2,0.2,0.2,0.2,0.2,0.2,8.911950000000001,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,52.11520000000001,29.596800000000002,56.6764,9.3836,4.1664,0.2,0.2,0.2,0.2,0.2,17.0316,P2,Fall,live,Fall_live,1,lag
33,1.0713895291033466,65.86919999999999,53.86959999999999,71.2522,52.22906666666666,100.86240000000001,10.778099999999998,0.2,6.8176,3.4776000000000002,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,1.19195779819294,0.824217381620061,0.2,3.537733333333333,0.2,3.08719324765273,0.2,1.35057395206631,0.2,0.193,0.503424424824982,7.7585999999999995,0.2,0.2,0.2,0.2,0.2,0.2,18.2848,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,72.69299999999998,63.8856,224.31579999999997,83.1568,56.0378,0.2,0.2,0.2,0.2,0.2,299.70207999999997,P2,Fall,live,Fall_live,1,lag
47,1.0971124518558397,83.36,43.0843,76.43379999999999,52.3371,97.16449999999999,4.7459999999999996,2.3884,4.574,3.0044,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,1.19195779819294,0.824217381620061,0.2,3.2748999999999997,0.2,3.08719324765273,0.2,1.35057395206631,0.2,0.193,0.503424424824982,4.2318,0.2,0.2,0.2,0.2,0.2,0.2,5.4716,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,66.828,114.32053333333333,229.946,101.56306666666666,25.56,0.2,0.2,0.2,0.2,0.2,285.6834,P2,Fall,live,Fall_live,1,lag
60,1.0989864933071483,41.7833237813175,52.8136,76.8458,60.81,115.63619999999999,9.576,0.2,0.2,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,1.19195779819294,0.824217381620061,0.2,1.82741390613705,0.2,3.08719324765273,0.2,0.191,0.2,0.193,0.503424424824982,7.6524,0.2,0.2,0.2,0.2,0.2,0.2,5.60981520276729,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,79.2548,51.038399999999996,200.8876,43.1972,23.647199999999998,0.2,0.2,0.2,0.2,0.2,311.9266,P2,Fall,live,Fall_live,1,lag
74,1.457117706813025,73.6394,29.3474,48.548,30.960800000000003,77.7254,8.4172,3.5348,2.8295999999999997,2.1564,2.3347999999999995,2.3487999999999998,2.986,1.41421356237309,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,1.19195779819294,0.824217381620061,0.2,1.82741390613705,0.2,4.1697999999999995,0.2,0.191,0.2,0.193,0.503424424824982,3.5951999999999997,0.2,0.2,0.2,0.2,0.2,0.2,5.60981520276729,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,33.63999999999999,75.08,139.04,67.2,19,0.2,0.2,0.2,0.2,0.2,276.206,P2,Fall,live,Fall_live,1,lag
88,1.4614057644145542,58.245200000000004,26.3096,46.104,36.582,82.70500000000001,6.912799999999999,2.4428,2.0448,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,1.41421356237309,0.2,0.2,0.2,1.36917976233429,1.2,1.2,0.2,0.2,0.2,0.2,0.2,1.19195779819294,0.824217381620061,0.2,3.6804,0.2,3.08719324765273,0.2,0.191,0.2,0.193,0.503424424824982,1.41421356237309,0.2,0.2,0.2,0.2,0.2,0.2,5.60981520276729,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1936,0.1944,0.195,0.2,0.2,37.310399999999994,36.0676,75.5904,19.674,1.41421356237309,0.2,0.2,0.2,0.2,0.2,89.7944,P2,Fall,live,Fall_live,1,peak
